date,Account,daily_pnl,trade_count,total_size_usd,long_count,short_count,long_ratio,win_rate,classification,value,frequency_segment,performance_segment
2023-05-01,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,0.0,3,477.0,3,0,1.0,0,Greed,63,Infrequent,Loser
2023-12-05,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0.0,9,50005.83,7,2,0.7777777777777778,0,Extreme Greed,75,Frequent,Winner
2023-12-14,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-205.43473700000007,11,113203.35,5,6,0.45454545454545453,0,Greed,72,Frequent,Winner
2023-12-15,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-24.632033999999997,2,10609.95,2,0,1.0,0,Greed,70,Frequent,Winner
2023-12-16,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0.0,3,15348.77,3,0,1.0,0,Greed,67,Frequent,Winner
2023-12-17,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,304.982785,14,116278.02,3,11,0.21428571428571427,1,Greed,73,Frequent,Winner
2023-12-18,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0.0,2,31164.179999999997,2,0,1.0,0,Greed,65,Frequent,Winner
2023-12-19,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,1000.5386120000001,15,91602.41,5,10,0.3333333333333333,1,Greed,73,Frequent,Winner
2023-12-20,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,162.732282,18,141636.79,10,8,0.5555555555555556,1,Greed,74,Frequent,Winner
2023-12-21,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,537.211402,49,125233.97,22,27,0.4489795918367347,1,Greed,70,Frequent,Winner
2023-12-22,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,141.832675,10,88874.28,8,2,0.8,1,Greed,74,Frequent,Winner
2023-12-23,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,146.936704,13,78438.25,5,8,0.38461538461538464,1,Greed,70,Frequent,Winner
2023-12-24,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,1008.619956,39,402954.94,21,18,0.5384615384615384,1,Greed,71,Frequent,Winner
2023-12-25,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-245.081348,3,59948.51,2,1,0.6666666666666666,0,Greed,73,Frequent,Winner
2023-12-27,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-704.8892269999999,28,171411.06,15,13,0.5357142857142857,0,Greed,73,Frequent,Winner
2023-12-28,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-970.730876,23,100117.25,10,13,0.43478260869565216,0,Greed,73,Frequent,Winner
